client_id,industry_sector,facility_amount_usd,interest_rate_margin_pct,maturity_date,revenue,ebitda,total_debt,icr,leverage_ratio,internal_rating,pd_percent,ecl_provision,dashboard_status
CORP_00001,Financials,204900595,1.12,2031-01-20,254802610.0,58164580.0,157101015.0,6.59,2.7,B,0.05,4610263.39,Review Required (High Exposure)
CORP_00002,Manufacturing,61755036,3.74,2029-11-09,71031108.0,20987209.0,68023640.0,3.74,3.24,B,0.05,1389488.31,Performing
CORP_00003,Healthcare,196100010,3.62,2029-04-10,351396851.0,96739193.0,295870410.0,4.03,3.06,B,0.05,4412250.23,Review Required (High Exposure)
CORP_00004,Commercial Real Estate,132521863,5.57,2029-10-31,53057136.0,7237893.0,14478244.0,4.96,2.0,A,0.01,596348.38,Performing
CORP_00005,Commercial Real Estate,160299516,2.69,2030-09-05,136470957.0,28990429.0,92683979.0,4.35,3.2,B,0.05,3606739.11,Review Required (High Exposure)
CORP_00006,Commercial Real Estate,152532820,5.49,2029-10-17,150480405.0,26876717.0,104827899.0,2.57,3.9,B,0.05,3431988.45,Review Required (High Exposure)
CORP_00007,Healthcare,138224038,6.32,2031-12-29,454853246.0,120866986.0,428686150.0,2.61,3.55,B,0.05,3110040.86,Performing
CORP_00008,Manufacturing,40788921,1.49,2029-07-24,427020283.0,50087426.0,144277888.0,5.8,2.88,B,0.05,917750.72,Performing
CORP_00009,Healthcare,138120466,5.35,2029-05-28,332791162.0,77839191.0,386703179.0,2.04,4.97,C,0.15,9323131.46,Critical Watchlist
CORP_00010,Commercial Real Estate,165953558,4.24,2027-06-05,304601930.0,61704780.0,128322122.0,5.5,2.08,A,0.01,746791.01,Performing
CORP_00011,Retail,98410762,3.64,2030-12-12,229319338.0,55226034.0,264553604.0,2.56,4.79,C,0.15,6642726.44,Critical Watchlist
CORP_00012,Technology,235537303,3.31,2026-01-10,203042590.0,39213063.0,91376690.0,5.49,2.33,A,0.01,1059917.86,Performing
CORP_00013,Aviation,96090292,5.32,2028-09-10,406584062.0,69329943.0,158213350.0,4.46,2.28,A,0.01,432406.31,Performing
CORP_00014,Healthcare,170850211,4.52,2032-08-22,489105080.0,118698799.0,306781374.0,4.29,2.58,B,0.05,3844129.75,Review Required (High Exposure)
CORP_00015,Manufacturing,81737383,5.43,2030-07-15,36874526.0,5130272.0,23720163.0,2.18,4.62,C,0.15,5517273.35,Critical Watchlist
CORP_00016,Manufacturing,93358551,5.97,2030-07-19,195598425.0,57501225.0,180476774.0,3.04,3.14,B,0.05,2100567.4,Performing
CORP_00017,Telecommunications,116190146,4.39,2032-01-09,79022004.0,14109590.0,51715209.0,3.07,3.67,B,0.05,2614278.29,Performing
CORP_00018,Technology,93409749,6.39,2027-12-21,289469045.0,77570412.0,386919474.0,1.84,4.99,C,0.15,6305158.06,Critical Watchlist
CORP_00019,Logistics,247285876,4.34,2028-12-08,485299788.0,133169697.0,271694054.0,5.54,2.04,A,0.01,1112786.44,Performing
CORP_00020,Financials,144199233,4.5,2028-05-08,183676221.0,48039562.0,140759551.0,3.79,2.93,B,0.05,3244482.74,Performing
CORP_00021,Commercial Real Estate,153171095,4.05,2029-08-09,42668148.0,6312868.0,13805264.0,5.35,2.19,A,0.01,689269.93,Performing
CORP_00022,Logistics,90652971,1.5,2030-05-23,146791911.0,33544735.0,94743676.0,5.9,2.82,B,0.05,2039691.85,Performing
CORP_00023,Telecommunications,9521373,5.0,2026-02-19,407513795.0,60341020.0,249852674.0,2.54,4.14,C,0.15,642692.68,Critical Watchlist
CORP_00024,Commercial Real Estate,111683173,4.01,2026-05-26,115945750.0,19703442.0,91366421.0,2.53,4.64,C,0.15,7538614.18,Critical Watchlist
CORP_00025,Technology,8344769,3.48,2028-07-03,379887246.0,70768451.0,173662622.0,5.11,2.45,A,0.01,37551.46,Performing
CORP_00026,Telecommunications,249061375,6.01,2030-01-02,374565611.0,106227150.0,214047038.0,4.72,2.01,A,0.01,1120776.19,Performing
CORP_00027,Commercial Real Estate,239984379,2.64,2032-04-08,409828236.0,115725701.0,326256461.0,4.97,2.82,B,0.05,5399648.53,Review Required (High Exposure)
CORP_00028,Technology,241143776,3.88,2027-08-04,388493985.0,93952744.0,221460825.0,5.06,2.36,A,0.01,1085146.99,Performing
CORP_00029,Energy,237968651,4.84,2030-05-04,73086758.0,9844309.0,46382309.0,2.27,4.71,C,0.15,16062883.94,Critical Watchlist
CORP_00030,Logistics,216111225,5.38,2027-04-28,393650010.0,43429046.0,137366206.0,3.2,3.16,B,0.05,4862502.56,Review Required (High Exposure)
CORP_00031,Logistics,111328085,3.53,2029-06-03,183930566.0,39514109.0,164861559.0,2.98,4.17,C,0.15,7514645.74,Critical Watchlist
CORP_00032,Financials,35349564,5.63,2027-11-04,18620160.0,3601663.0,15300563.0,2.32,4.25,C,0.15,2386095.57,Critical Watchlist
